"";"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"SEXO";"probabilidad";"potencial"
"191";"CLI0010322130";"4_PLUS40";"CASADO";"PRIMARIA";"[600-1000>";"MUJER";0,368744000617248;0
"192";"CLI0025672807";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200494709665198;0
"193";"CLI0002064058";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,687583697827681;0
"194";"CLI0029604760";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE";0,0798526835562102;0
"195";"CLI0022968716";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,305662549850826;0
"196";"CLI0008869434";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,197573387060294;0
"197";"CLI0044651645";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER";0,257136580638721;0
"198";"CLI0045852896";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"199";"CLI0074501646";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER";0,186077881951427;0
"200";"CLI0009696576";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,560808279561189;0
"201";"CLI0046290542";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE";0,201863031631841;0
"202";"CLI0047989593";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER";0,205901283261083;0
"203";"CLI0032125114";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200494709665198;0
"204";"CLI0008815908";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,358745372236997;0
"205";"CLI0047848771";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE";0,12869578116953;0
"206";"CLI0080255722";"3_30_40";"SOLTERO";"PRIMARIA";"<600";"HOMBRE";0,429350068019565;0
"207";"R_10429585100";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"208";"CLI0042885689";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,301705502412516;0
"209";"CLI0042816724";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,560808279561189;0
"210";"CLI0025691271";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,362971812058529;0
"211";"CLI0029398882";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER";0,257136580638721;0
"212";"CLI0021529365";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,078516554738811;0
"213";"CLI0044507641";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE";0,12869578116953;0
"214";"CLI0040649600";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE";0,560004986469388;0
"215";"CLI0046775023";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"216";"CLI0070349153";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER";0,205901283261083;0
